	unique_id	cof_paras
350	350	['As with computer OSs, the housekeeping program is abstract and general, yet its concrete implementation, resulting from billions of years of evolution, makes that several OSs may coexist, revealing again two kinds of information, information of the program and information of the context in which the program is expressed.', 'This has considerable consequences for synthetic biology: cellular functions can be general and ubiquitous, whereas there is no reason why they should always be performed by structurally related objects.', 'Different structural entities with common functions in different bacterial clades were indeed characterised (Danchin 2009b;#AUTHOR_TAG 2002).', 'A structure is therefore recruited for a particular function, dependent on the context in which it operates.']
351	351	['As with computer OSs, the housekeeping program is abstract and general, yet its concrete implementation, resulting from billions of years of evolution, makes that several OSs may coexist, revealing again two kinds of information, information of the program and information of the context in which the program is expressed.', 'This has considerable consequences for synthetic biology: cellular functions can be general and ubiquitous, whereas there is no reason why they should always be performed by structurally related objects.', 'Yet, Woese uncovered a significant discrepancy between two unicellular classes, the Archaea and the Bacteria (Woese et al. 1978).', 'Different structural entities with common functions in different bacterial clades were indeed characterised (#AUTHOR_TAG 2009b;Woese 2002).', 'A structure is therefore recruited for a particular function, dependent on the context in which it operates.']
352	352	"['Information-creating and manipulating form-was essential to account for life processes.', ""From the world of Plato's archetypes, those who explored the basic concepts of life resorted to discussions which began with Aristotle and placed form as a central category of reality."", 'For some time, and this is still quite visible in systems biology as well as in synthetic biology, living organisms were seen as mechanistic automata, with feedback and feedforward loops as paradigmatic entities.', ""The purpose of the present reflection was to try and show that investigating the concept of information shifts eighteenth century's automata to modern algorithmic machines, capable of authentic creation."", 'This implied replacing feedback by recursivity, a much deeper process.', 'Recursivity, associated to appropriate management of energy (Bennett 1988a;Landauer 1961;Sagawa and Ueda 2009), creates information (Danchin 2009a).', 'It does so by identifying two domains where information must be taken into account: information of a program and information of a machine.', 'However, while the information of the program is fairly deeply explored by a vast community of investigators, this is not so of the information of the machine/chassis, which involves some kind of measurement of the context (in terms of implementation within the four categories, matter, energy, space and time) (Tanaka 1984;Sagawa and Ueda 2009).', 'It is perhaps in the functioning of the brain that we can make the latter type of information most prominent.', 'Indeed, while von Neumann and others invented computers with mimicking the brain in mind (von Neumann 1958), the brain does not appear to behave as a Turing Machine (Edelman 1987).', 'There is no ""gost in the machine"" (Ryle 1949).', 'However, nobody would doubt that brain manages information, and in a very efficient way (Clark 1998;Bullock et al. 2008).', 'To my view this is a strong indication that the information we describe when considering messages is a tiny part of what information is.', 'Because we use language, built on the exchange of sequences of symbols, exactly as programs are exchanged in computers, linguists often saw the brain as a Turing Machine.', ""But language is deeply associated to meaning: I had in 1974 at a meeting of the Centre Royaumont pour une Science de l'Homme at the MIT, a heated argument with Noam Chomsky about other features of human languages, such as rhythm (in the west african language m�_r��, a speaker may begin a rythmic sentence, which is answered preserving rythmic rules by somebody in the audience, triggering another ejaculation of the speaker, with related rules, etc) suggesting that beside grammatical syntactic structures, there may exist a variety of superimposed contexts which transmit information mediated by channels that are not those usually considered (#AUTHOR_TAG 1987, Danchin andMarshall 1987;Marshall et al. 1987)."", ""As in Dyson's scenario of the origin of life, the basic functioning of the brain would base on reproduction, while invention of language with its linear sequences of phonemes, when spoken, and letters when written, would be, in Man, the transition moment when it would begin to discover recursivity in linear strings of symbols (phonemes) which can be propagated from brain to brain, as programs in a Turing Machine."", 'In any event, in the few cases where it might do so, it would be an extremely slow one (Sackur and Dehaene 2009).', 'With this view, Nature would have discovered twice the importance of coding and recursivity, in the emergence of life first, and in the emergence of language, quite recently.']"
353	353	"['When searching for life outside Earth we look for ""unusual"" shapes, not commonly associated with standard chemistry and mineralogy.', 'We restrict our identification of forms, looking first for the 3D architecture of the ""chassis"" which compartmentalises the living entity (see for example the beginning of Monod\'s Chance and Necessity (Monod 1971)).', 'Typically we draw aside crystalline shapes, and look for more complex shapes such as those of spheroidal or tubular objects.', ""Yet, we need more to recognise life, as drawing our conclusions from the geometry of shapes can be misleading (this happens when an artefact is interpreted as a biological entity's signature (#AUTHOR_TAG and Beebe 1991))."", 'Furthermore, the form of living organisms does not reduce to their static shapes, it implies dynamic processes.']"
354	354	['Starting from preconceived biological views, it abstracts specific features into axioms and definitions, and builds up models, whether mathematical or experimental (e.g.', 'The models unfold with their own rules of consistency: a demonstration in mathematics, yielding a theorem, a computer output in a simulation, a genetically modified cell in an experiment___ Subsequently one goes back to reality by proposing a concrete instantiation of the output, predicting a particular phenomenon.', 'In neurosciences the basis of neuromimetic networks rests on a vast number of works where selective processes play a central role (#AUTHOR_TAG et al. 1973;Edelman 1987).']
355	355	['Here is an open conjecture (a preliminary version has been proposed in a different context by #AUTHOR_TAG (1985) and it is interesting to follow the analysis of __ by Simon Plouffe: http://www.lacim.uqam.ca/~plouffe/).', 'Its digits are pseudo-random: for any sequence, there is a place in its digital development where one can find the sequence, whatever it is (this conjecture holds for infinite many real numbers and we would need to have a short algorithm to chose the one where the position of the sequence can be readily identified).', 'The sequence can be generated by an algorithm shorter than the sequence, giving the algorithm generating the number and the position of the supposedly random sequence.', 'It depends on the algorithm, as it differs in __ and in any other transcendent algorithmically generated real number.', 'Provided that we can prove the conjecture, this fits exactly the objection raised against the cell-as-a-computer model: beside information in the program, there must be information in the machine (providing the context).']
356	356	['However, we can point out a first difficulty here.', 'We know of an infinite set of transcendent numbers, such a __, whose digits are generated by fairly short algorithms while their succession cannot be predicted.', 'They are therefore of limited algorithmic complexity.', 'Yet, they are much more interesting than repeated sequences with the same complexity.', 'Knowing the exact value of a digit placed in the digits of __, very far away in the digitisation might be interesting, but the only way to reach that value is to actualise the process of computation.', 'Bennett named logical depth the time needed to reach that value and related it to physical complexity (#AUTHOR_TAG 1988b).', 'This is a first indication that we are far from having a thorough theory of information.']
357	357	"['The study of the genetic program as a text, applying accepted rules of the theory of information (Shannon and Weaver 1949;Cover and Thomas 1991) to its analysis (H��naut et al. 1996) resulted in the emphasis placed on DNA in synthetic biology.', 'Schneider created his famous ""logo"" representation of sequences (Schneider and Stephens 1990) in a model of molecular machines based on Shannon\'s information (Schneider 1991a, b).', 'His work was based on the intuition that creation of information was consuming energy (#AUTHOR_TAG 1991b).', 'Furthermore, it assumed that the data has no meaning (hence no ""value""), and could be characterised purely by analysing the probability of presence of a given symbol in the sequence, generating its logo (Schneider and Stephens 1990).']"
358	358	['There is decreased activity in the limbic system, especially  (Benson et al., 1999) Cornelissen et al., 2013 the amygdala, with dorsolateral prefrontal cortex becoming relatively more active and orbitomedial and cingulate cortex less so; a move toward normality from patterns observed before treatment (Ochsner et al., 2002;Goldapple et al., 2004;Malhi et al., 2004;#AUTHOR_TAG et al., 2011;H�_flich et al., 2012) and consistent with what is know of the processing of emotional stimuli (Simpson et al., 2000;Northoff et al., 2004;Lepp�_nen, 2006;Beck, 2008).', 'Pretreatment levels of cingulate activity can even predict response to CBT with some reliability (Konarski et al., 2009;Ritchey et al., 2011;Siegle et al., 2012).']
359	359	['Beginnings are starting to be made in reproducing data across as well as within subjects (#AUTHOR_TAG and Suma, 2012;Raizada and Connolly, 2012).']
360	360	['Fairly similar stimuli, for example chairs and shoes (Norman et al., 2006;deCharms, 2008;Poldrack, 2011), or over-riding categories of images such as living or non-living (#AUTHOR_TAG et al., 2012) can now be recognized from pattern information fMRI (Formisano and Kriegeskorte, 2012) data.', 'Beginnings are starting to be made in reproducing data across as well as within subjects (Accamma and Suma, 2012;Raizada and Connolly, 2012).']
361	361	['For example, very similar changes in those brain areas are seen after CBT and other psychological treatments for anxiety (Furmark et al., 2002;Paquette et al., 2003;#AUTHOR_TAG et al., 2006;Porto et al., 2009;Freyer et al., 2011), schizophrenia (Wykes et al., 2002), eating disorders (Vocks et al., 2011) and Irritable Bowel Syndrome (Lackner et al., 2006).', 'This is consistent with a consciousness network which depends upon these brain areas (and no doubt others) but it also suggests that there is a large overlap in the brain changes associated with different holistic states of consciousness.', 'At present, fMRI data would suggest that, simply put, CBT is associated with a decrease in emotionality (less limbic activity) and an increase in thoughtfulness (increased dorsolateral frontal activity), as would be expected from its aims and methods (Clark and Beck, 2010).']
362	362	['Similarly, though there is evidence that different modalities of therapy may have different levels of effectiveness (see Tolin, 2010 for a meta-analytic comparison of CBT with other therapies), where this does occur this appears to be more a quantitative than a qualitative difference.', 'The outcomes of psychodynamic, personcentred, and behavioral psychotherapy are broadly equivalent despite their varieties of approaches and targets for therapeutic change (#AUTHOR_TAG et al., 2008;Budd and Hughes, 2009) perhaps because they work via common final paths (Mansell, 2011).']
363	363	['There is decreased activity in the limbic system, especially  (Benson et al., 1999) Cornelissen et al., 2013 the amygdala, with dorsolateral prefrontal cortex becoming relatively more active and orbitomedial and cingulate cortex less so; a move toward normality from patterns observed before treatment (Ochsner et al., 2002;Goldapple et al., 2004;Malhi et al., 2004;Ritchey et al., 2011;H�_flich et al., 2012) and consistent with what is know of the processing of emotional stimuli (#AUTHOR_TAG et al., 2000;Northoff et al., 2004;Lepp�_nen, 2006;Beck, 2008).', 'Pretreatment levels of cingulate activity can even predict response to CBT with some reliability (Konarski et al., 2009;Ritchey et al., 2011;Siegle et al., 2012).']
364	364	['The dominant paradigm has been to compare levels of brain activity pre and post CBT to see what changes.', 'There is decreased activity in the limbic system, especially  (Benson et al., 1999) Cornelissen et al., 2013 the amygdala, with dorsolateral prefrontal cortex becoming relatively more active and orbitomedial and cingulate cortex less so; a move toward normality from patterns observed before treatment (Ochsner et al., 2002;Goldapple et al., 2004;Malhi et al., 2004;Ritchey et al., 2011;H�_flich et al., 2012) and consistent with what is know of the processing of emotional stimuli (Simpson et al., 2000;Northoff et al., 2004;Lepp�_nen, 2006;Beck, 2008).', 'Pretreatment levels of cingulate activity can even predict response to CBT with some reliability (Konarski et al., 2009;Ritchey et al., 2011;#AUTHOR_TAG et al., 2012).']
365	365	['MVPA might therefore lead to the ability to map holistic changes in consciousness to patterns within and across the regions that classic fMRI has identified as responsive to psychotherapy (#AUTHOR_TAG et al., 2007).', 'Thus it may provide the mechanism to bridge holistic and specific variations in consciousness and brain.']
366	366	['Not only perceptions, but also images and memories (Chadwick et al., 2012;#AUTHOR_TAG and Wagner, 2012) are starting to be distinguished.']
367	367	['Beginnings are starting to be made in reproducing data across as well as within subjects (Accamma and Suma, 2012;#AUTHOR_TAG and Connolly, 2012).']
368	368	['For example, very similar changes in those brain areas are seen after CBT and other psychological treatments for anxiety (Furmark et al., 2002;Paquette et al., 2003;Straube et al., 2006;#AUTHOR_TAG et al., 2009;Freyer et al., 2011), schizophrenia (Wykes et al., 2002), eating disorders (Vocks et al., 2011) and Irritable Bowel Syndrome (Lackner et al., 2006).', 'This is consistent with a consciousness network which depends upon these brain areas (and no doubt others) but it also suggests that there is a large overlap in the brain changes associated with different holistic states of consciousness.', 'At present, fMRI data would suggest that, simply put, CBT is associated with a decrease in emotionality (less limbic activity) and an increase in thoughtfulness (increased dorsolateral frontal activity), as would be expected from its aims and methods (Clark and Beck, 2010).']
369	369	['Fairly similar stimuli, for example chairs and shoes (Norman et al., 2006;deCharms, 2008;#AUTHOR_TAG, 2011), or over-riding categories of images such as living or non-living (Naselaris et al., 2012) can now be recognized from pattern information fMRI (Formisano and Kriegeskorte, 2012) data.', 'Beginnings are starting to be made in reproducing data across as well as within subjects (Accamma and Suma, 2012;Raizada and Connolly, 2012).']
370	370	['For example, very similar changes in those brain areas are seen after CBT and other psychological treatments for anxiety (Furmark et al., 2002;#AUTHOR_TAG et al., 2003;Straube et al., 2006;Porto et al., 2009;Freyer et al., 2011), schizophrenia (Wykes et al., 2002), eating disorders (Vocks et al., 2011) and Irritable Bowel Syndrome (Lackner et al., 2006).', 'This is consistent with a consciousness network which depends upon these brain areas (and no doubt others) but it also suggests that there is a large overlap in the brain changes associated with different holistic states of consciousness.', 'At present, fMRI data would suggest that, simply put, CBT is associated with a decrease in emotionality (less limbic activity) and an increase in thoughtfulness (increased dorsolateral frontal activity), as would be expected from its aims and methods (Clark and Beck, 2010).']
371	371	['Early attempts to localize specific perceptions to specific brain areas worked only for grossly different stimuli-visualizing navigating a house compared to imagining playing tennis (#AUTHOR_TAG et al., 2006)-or for simple stimuli in early, highly specialized, visual areas (Kay et al., 2008).', 'Fairly similar stimuli, for example chairs and shoes (Norman et al., 2006;deCharms, 2008;Poldrack, 2011), or over-riding categories of images such as living or non-living (Naselaris et al., 2012) can now be recognized from pattern information fMRI (Formisano and Kriegeskorte, 2012) data.']
372	372	['There is decreased activity in the limbic system, especially  (Benson et al., 1999) Cornelissen et al., 2013 the amygdala, with dorsolateral prefrontal cortex becoming relatively more active and orbitomedial and cingulate cortex less so; a move toward normality from patterns observed before treatment (#AUTHOR_TAG et al., 2002;Goldapple et al., 2004;Malhi et al., 2004;Ritchey et al., 2011;H�_flich et al., 2012) and consistent with what is know of the processing of emotional stimuli (Simpson et al., 2000;Northoff et al., 2004;Lepp�_nen, 2006;Beck, 2008).', 'Pretreatment levels of cingulate activity can even predict response to CBT with some reliability (Konarski et al., 2009;Ritchey et al., 2011;Siegle et al., 2012).']
373	373	['There is decreased activity in the limbic system, especially  (Benson et al., 1999) Cornelissen et al., 2013 the amygdala, with dorsolateral prefrontal cortex becoming relatively more active and orbitomedial and cingulate cortex less so; a move toward normality from patterns observed before treatment (Ochsner et al., 2002;Goldapple et al., 2004;Malhi et al., 2004;Ritchey et al., 2011;H�_flich et al., 2012) and consistent with what is know of the processing of emotional stimuli (Simpson et al., 2000;#AUTHOR_TAG et al., 2004;Lepp�_nen, 2006;Beck, 2008).', 'Pretreatment levels of cingulate activity can even predict response to CBT with some reliability (Konarski et al., 2009;Ritchey et al., 2011;Siegle et al., 2012).']
374	374	['Fairly similar stimuli, for example chairs and shoes (#AUTHOR_TAG et al., 2006;deCharms, 2008;Poldrack, 2011), or over-riding categories of images such as living or non-living (Naselaris et al., 2012) can now be recognized from pattern information fMRI (Formisano and Kriegeskorte, 2012) data.', 'Beginnings are starting to be made in reproducing data across as well as within subjects (Accamma and Suma, 2012;Raizada and Connolly, 2012).']
375	375	['For example, very similar changes in those brain areas are seen after CBT and other psychological treatments for anxiety (Furmark et al., 2002;Paquette et al., 2003;Straube et al., 2006;Porto et al., 2009;Freyer et al., 2011), schizophrenia (#AUTHOR_TAG et al., 2002), eating disorders (Vocks et al., 2011) and Irritable Bowel Syndrome (Lackner et al., 2006).', 'This is consistent with a consciousness network which depends upon these brain areas (and no doubt others) but it also suggests that there is a large overlap in the brain changes associated with different holistic states of consciousness.', 'At present, fMRI data would suggest that, simply put, CBT is associated with a decrease in emotionality (less limbic activity) and an increase in thoughtfulness (increased dorsolateral frontal activity), as would be expected from its aims and methods (Clark and Beck, 2010).']
376	376	['Similarly, though there is evidence that different modalities of therapy may have different levels of effectiveness (see Tolin, 2010 for a meta-analytic comparison of CBT with other therapies), where this does occur this appears to be more a quantitative than a qualitative difference.', 'The outcomes of psychodynamic, personcentred, and behavioral psychotherapy are broadly equivalent despite their varieties of approaches and targets for therapeutic change (Stiles et al., 2008;Budd and Hughes, 2009) perhaps because they work via common final paths (#AUTHOR_TAG, 2011).']
377	377	['There is decreased activity in the limbic system, especially  (Benson et al., 1999) Cornelissen et al., 2013 the amygdala, with dorsolateral prefrontal cortex becoming relatively more active and orbitomedial and cingulate cortex less so; a move toward normality from patterns observed before treatment (Ochsner et al., 2002;Goldapple et al., 2004;#AUTHOR_TAG et al., 2004;Ritchey et al., 2011;H�_flich et al., 2012) and consistent with what is know of the processing of emotional stimuli (Simpson et al., 2000;Northoff et al., 2004;Lepp�_nen, 2006;Beck, 2008).', 'Pretreatment levels of cingulate activity can even predict response to CBT with some reliability (Konarski et al., 2009;Ritchey et al., 2011;Siegle et al., 2012).']
378	378	['However, a one to one correspondence between change in depression and change in specific brain areas may be over stated (#AUTHOR_TAG, 2006;Frewen et al., 2008;Dichter et al., 2012).', 'For example, very similar changes in those brain areas are seen after CBT and other psychological treatments for anxiety (Furmark et al., 2002;Paquette et al., 2003;Straube et al., 2006;Porto et al., 2009;Freyer et al., 2011), schizophrenia (Wykes et al., 2002), eating disorders (Vocks et al., 2011) and Irritable Bowel Syndrome (Lackner et al., 2006).', 'This is consistent with a consciousness network which depends upon these brain areas (and no doubt others) but it also suggests that there is a large overlap in the brain changes associated with different holistic states of consciousness.']
379	379	['For example, very similar changes in those brain areas are seen after CBT and other psychological treatments for anxiety (Furmark et al., 2002;Paquette et al., 2003;Straube et al., 2006;Porto et al., 2009;Freyer et al., 2011), schizophrenia (Wykes et al., 2002), eating disorders (Vocks et al., 2011) and Irritable Bowel Syndrome (#AUTHOR_TAG et al., 2006).', 'This is consistent with a consciousness network which depends upon these brain areas (and no doubt others) but it also suggests that there is a large overlap in the brain changes associated with different holistic states of consciousness.', 'At present, fMRI data would suggest that, simply put, CBT is associated with a decrease in emotionality (less limbic activity) and an increase in thoughtfulness (increased dorsolateral frontal activity), as would be expected from its aims and methods (Clark and Beck, 2010).']
380	380	['The dominant paradigm has been to compare levels of brain activity pre and post CBT to see what changes.', 'There is decreased activity in the limbic system, especially  (Benson et al., 1999) Cornelissen et al., 2013 the amygdala, with dorsolateral prefrontal cortex becoming relatively more active and orbitomedial and cingulate cortex less so; a move toward normality from patterns observed before treatment (Ochsner et al., 2002;Goldapple et al., 2004;Malhi et al., 2004;Ritchey et al., 2011;H�_flich et al., 2012) and consistent with what is know of the processing of emotional stimuli (Simpson et al., 2000;Northoff et al., 2004;Lepp�_nen, 2006;Beck, 2008).', 'Pretreatment levels of cingulate activity can even predict response to CBT with some reliability (#AUTHOR_TAG et al., 2009;Ritchey et al., 2011;Siegle et al., 2012).']
381	381	['However, evidence is lacking as to what specifically changes as a consequence of psychotherapy (see, for example, #AUTHOR_TAG et al., 2009).', 'Despite the range of different ways of measuring the effects of psychotherapy noted above, it is striking how closely these are related.']
382	382	['Similarly, though there is evidence that different modalities of therapy may have different levels of effectiveness (see Tolin, 2010 for a meta-analytic comparison of CBT with other therapies), where this does occur this appears to be more a quantitative than a qualitative difference.', 'The outcomes of psychodynamic, personcentred, and behavioral psychotherapy are broadly equivalent despite their varieties of approaches and targets for therapeutic change (Stiles et al., 2008;#AUTHOR_TAG and Hughes, 2009) perhaps because they work via common final paths (Mansell, 2011).']
383	383	['There is decreased activity in the limbic system, especially  (Benson et al., 1999) Cornelissen et al., 2013 the amygdala, with dorsolateral prefrontal cortex becoming relatively more active and orbitomedial and cingulate cortex less so; a move toward normality from patterns observed before treatment (Ochsner et al., 2002;Goldapple et al., 2004;Malhi et al., 2004;Ritchey et al., 2011;H�_flich et al., 2012) and consistent with what is know of the processing of emotional stimuli (Simpson et al., 2000;Northoff et al., 2004;Lepp�_nen, 2006;#AUTHOR_TAG, 2008).', 'Pretreatment levels of cingulate activity can even predict response to CBT with some reliability (Konarski et al., 2009;Ritchey et al., 2011;Siegle et al., 2012).']
384	384	['In the literature most authors distinguish between householdbased and non-household-based carpools which are also called internal and external carpools respectively (#AUTHOR_TAG et al., 2010;Correia and Viegas, 2011;Ferguson, 1997a;Morency, 2007;Teal, 1987).', 'This distinction is relevant for two reasons.', 'First, members of the same household have their trip origin in common; as a result, no time is lost for picking up a passenger.', 'Second, the level of trust is high between members of the same household and this is considered to be important in the formation of carpool clubs.', 'Therefore, Correia and Viegas (2011) classify relations between carpool members on the basis of the level of trust which is assumed to be higher between members of the same household than between (in decreasing order of trust) friends, colleagues and unrelated persons.']
385	385	"['Considering spatial structure, the more congested downtown areas, associated with a high transit access, less parking availability and higher parking costs, are stronger correlated with a higher use of SOV alternatives (#AUTHOR_TAG and Giuliano, 1990).', ""Therefore, Teal (1987, p. 211) concludes that 'carpooling picks up the slack for transit in environments where the latter is of poor quality'.""]"
386	386	['In the literature most authors distinguish between householdbased and non-household-based carpools which are also called internal and external carpools respectively (Buliung et al., 2010;#AUTHOR_TAG and Viegas, 2011;Ferguson, 1997a;Morency, 2007;Teal, 1987).', 'This distinction is relevant for two reasons.', 'First, members of the same household have their trip origin in common; as a result, no time is lost for picking up a passenger.', 'Second, the level of trust is high between members of the same household and this is considered to be important in the formation of carpool clubs.', 'Therefore, Correia and Viegas (2011) classify relations between carpool members on the basis of the level of trust which is assumed to be higher between members of the same household than between (in decreasing order of trust) friends, colleagues and unrelated persons.']
387	387	['In the literature most authors distinguish between householdbased and non-household-based carpools which are also called internal and external carpools respectively (Buliung et al., 2010;Correia and Viegas, 2011;#AUTHOR_TAG, 1997a;Morency, 2007;Teal, 1987).', 'This distinction is relevant for two reasons.', 'First, members of the same household have their trip origin in common; as a result, no time is lost for picking up a passenger.', 'Second, the level of trust is high between members of the same household and this is considered to be important in the formation of carpool clubs.', 'Therefore, Correia and Viegas (2011) classify relations between carpool members on the basis of the level of trust which is assumed to be higher between members of the same household than between (in decreasing order of trust) friends, colleagues and unrelated persons.']
388	388	['The quoted benefits of carpooling are selfevident: driving costs may be shared (drivers may get compensation, because passengers pay a part of the commuting cost and still enjoy the comfort of a car), and commuters are not dependent on schedules and/or public transport networks.', 'However, the majority of workers do not carpool, the advantages of carpooling are most of the time not strong enough to entice commuters to give up the comfort of driving alone (Comsis Corporation, 1993;Hwang and Giuliano, 1990;#AUTHOR_TAG et al., 2001;Tsao and Lin, 1999).']
389	389	['It was promoted during World War II to deal with oil and rubber shortages and during the oil crisis of the 1970s (#AUTHOR_TAG, 1997b(#AUTHOR_TAG, , 2000Gilbert and Perl, 2008).']
390	390	['This type of regression models explicitly takes into account that observations are nested in groups, while standard regression analysis assumes the independence of observations.', 'The main aim of multilevel regression models is to deal with this grouping of observations (#AUTHOR_TAG, 1995;Hox, 2002;Luke, 2004).']
391	391	"['Given the low cost of most measures that encourage carpooling, employers indicate them as acceptable, with the exception of parking restrictions (#AUTHOR_TAG, 1999a,b).', 'Most research classifies the guaranteed ride home as effective (Correia and Viegas, 2011;Giuliano et al., 1993;Kingham et al., 2001;Menczer, 2007;Rye, 1999a,b).', ""However, Hwang and Giuliano (1990) identified it as less effective, together with other 'carrots' like preferential parking, alternative work hours, a matching service, and marketing."", 'In what follows, we put the effectiveness of measures into perspective.', 'As Canning et al. (2010) point out, the success of preferential parking depends on the actual parking pressure at a site.', 'Regarding work schedules, most studies state that a regular work schedule facilitates finding carpool-partners with the same working hours and that flexible work schedules positively influence public transport patronage.', 'Flexitime and the promotion of carpool are then seen as conflicting mobility management measures (Buliung et al., 2010;Huang et al., 2000).', 'However, although a flexible work arrangement reduces the probability that carpooling enters the choice set of a commuter, once the commuter perceives carpooling as a viable option, there is a positive effect of flexitime on carpooling (Habib et al., 2011).', 'Obviously, the development of ICT brings along more advanced (on-line) carpool-matching tools (Buliung et al., 2010;Canning et al., 2010).', 'Some of these tools try to overcome the poor schedule flexibility and offer a dynamic ride-matching service.', 'This involves the creation of a large pool of potential carpoolers which are matched in a flexible way without the necessity to carpool every day and each time with the same person(s) (Correia and Viegas, 2011).', 'It is yet unclear whether these casual carpooling strategies can substantially increase the number of carpool trips.', ""A last 'soft' measure to promote carpooling is marketing."", 'This, and information provision in general, is needed to inform the audience about the carpool measures that exist.', 'Although information provision is considered as cheap, a tailor-made approach might require significant budgets, especially if an in-house carpool coordinator is present (Buliung et al., 2010).', ""Hwang and Giuliano (1990) indicate that 'sticks' like parking charges and restrictions, and transport allowances as more effective than 'carrots' like marketing, preferential parking and setting up a matching service."", 'Also Kingham et al. (2001) point to financial incentives as measures with a high potential.', ""The potential attributed to parking charges and restrictions is in line with the general finding that 'sticks proved to have a generally greater influence on stated mode choice than the carrots' (O'Fallon et al., 2004, p. 28)."", 'However, as is clear from the discussion above, there is no consensus about the effectiveness of measures promoting carpooling.']"
392	392	['This type of regression models explicitly takes into account that observations are nested in groups, while standard regression analysis assumes the independence of observations.', 'The main aim of multilevel regression models is to deal with this grouping of observations (Goldstein, 1995;#AUTHOR_TAG, 2002;Luke, 2004).']
393	393	['In the literature most authors distinguish between householdbased and non-household-based carpools which are also called internal and external carpools respectively (Buliung et al., 2010;Correia and Viegas, 2011;Ferguson, 1997a;Morency, 2007;#AUTHOR_TAG, 1987).', 'This distinction is relevant for two reasons.', 'First, members of the same household have their trip origin in common; as a result, no time is lost for picking up a passenger.', 'Second, the level of trust is high between members of the same household and this is considered to be important in the formation of carpool clubs.', 'Therefore, Correia and Viegas (2011) classify relations between carpool members on the basis of the level of trust which is assumed to be higher between members of the same household than between (in decreasing order of trust) friends, colleagues and unrelated persons.']
394	394	['Finding a carpool partner with the same origin and destination zone may be difficult, especially in low-density areas (#AUTHOR_TAG and Lin, 1999) and at larger distances from the destination.', 'They also stress the importance of the pool-size effect, which is present both at the origin and destination side of the trip.']
395	395	['In contrast to studies like #AUTHOR_TAG et al. (2011) and Canning et al. (2010), which analysed respectively one and six employerled carpooling schemes with more detail, we employ a large dataset containing several thousands of workplaces.', 'Although our main focus is on workplaces, a multilevel perspective is used (Wegener, 2011).', 'We conceptualise workplaces as meaningful units since they are physical and social environments, but we take into account that on a lower level, the behaviour and characteristics of individual actors matter (Whitmeyer, 1994).']
396	396	['Some authors classify carpool trips on the basis of the types of matching between origins and destinations (Morency, 2007;#AUTHOR_TAG et al., 1999).', 'The most simple carpool structure encompasses that both driver and rider(s) have their origin and destination in common.', 'Furthermore, carpool members can meet at a carpool parking at an intermediate location.']
397	397	['This type of regression models explicitly takes into account that observations are nested in groups, while standard regression analysis assumes the independence of observations.', 'The main aim of multilevel regression models is to deal with this grouping of observations (Goldstein, 1995;Hox, 2002;#AUTHOR_TAG, 2004).']
398	398	['It was promoted during World War II to deal with oil and rubber shortages and during the oil crisis of the 1970s (Ferguson, 1997b(Ferguson, , 2000Gilbert and Perl, 2008).', 'More recently, carpooling was also advocated during the 2008 Olympics in Beijing as a response to driving restrictions (#AUTHOR_TAG, 2011).']
399	399	['In the literature most authors distinguish between householdbased and non-household-based carpools which are also called internal and external carpools respectively (Buliung et al., 2010;Correia and Viegas, 2011;Ferguson, 1997a;#AUTHOR_TAG, 2007;Teal, 1987).', 'This distinction is relevant for two reasons.', 'First, members of the same household have their trip origin in common; as a result, no time is lost for picking up a passenger.', 'Second, the level of trust is high between members of the same household and this is considered to be important in the formation of carpool clubs.', 'Therefore, Correia and Viegas (2011) classify relations between carpool members on the basis of the level of trust which is assumed to be higher between members of the same household than between (in decreasing order of trust) friends, colleagues and unrelated persons.']
400	400	['In contrast, allowances or free parking for carpoolers in areas with high parking costs is oversubsidising since public transport is most of the time a viable alternative in these areas.', 'For the same reason, we do not advise the introduction of carpool lanes in Belgian cities. Analogously, carpool parkings and park and ride facilities should be carefully planned since they often generate additional traffic and encourage car-oriented land use development outside urban areas (Meek et al., 2008;Parkhurst, 2000).', 'If carpooling is heavily promoted at a workplace due to a lack of public transport, one should always check whether this is caused by bad land use planning or poorly organised public transport.', 'However, the clustering of businesses in e.g. chemical industrial parks (#AUTHOR_TAG et al., 2010) creates the opportunity to invest in bus services as can be observed in the Antwerp port area where large chemical companies have established an extensive network of bus routes.', 'The high levels of carpooling in construction, manufacturing and transport (Table 3, Fig. 4) indicate that in these sectors, carpooling has the highest potential to reduce the amount of SOV commuters.']
401	401	['Multilevel modelling has the advantage of getting a better understanding and more clear interpretation of the effects of higher levels (by estimating and reporting random effects).', 'Furthermore, standard regression analysis ignores the grouping of data and this can cause underestimated standard errors of regression coefficients (Goldstein, 1995;Hox, 2002;Maas and Hox, 2004;#AUTHOR_TAG et al., 2005;Schwanen et al., 2004).', 'The main disadvan- tage is that models become more complex.', 'As a consequence, diagnostics can be more complicated as well.', 'The comparison of different models is often used to evaluate a model.', 'In what follows, we will refer to the so-called empty model (model A), i.e. a model with a multilevel structure (an extra error term) but without any independent variables.', 'The empty model is then compared with the full model (model B), i.e. the multilevel model with the full set of independent variables.']
